Date,Hour,TS1,TS2,TS3
2016-01-01,4H 0M 0S,12.24728563475875,20.857636383009705,17.07176187738594
2016-01-01,8H 0M 0S,13.85582563475875,22.635496383009706,18.79882587738594
2016-01-01,12H 0M 0S,15.401380634758748,24.343741383009707,20.45826387738594
2016-01-01,16H 0M 0S,13.792840634758749,22.565881383009703,18.731199877385937
2016-01-01,20H 0M 0S,12.184300634758749,20.788021383009703,17.004135877385938
2016-01-02,4H 0M 0S,10.809650634758748,19.268671383009707,15.528195877385937
2016-01-02,8H 0M 0S,13.459010634758751,22.196911383009706,18.37277187738594
2016-01-02,12H 0M 0S,16.004630634758747,25.010491383009704,21.105963877385935
2016-01-02,16H 0M 0S,13.35527063475875,22.082251383009705,18.26138787738594
2016-01-02,20H 0M 0S,10.70591063475875,19.154011383009706,15.416811877385936
2016-01-03,4H 0M 0S,10.316030634758748,18.723091383009706,14.998203877385937
2016-01-03,8H 0M 0S,12.839230634758751,21.511891383009708,17.70732387738594
2016-01-03,12H 0M 0S,15.263630634758751,24.191491383009705,20.31036387738594
2016-01-03,16H 0M 0S,12.740430634758749,21.402691383009703,17.601243877385937
2016-01-03,20H 0M 0S,10.21723063475875,18.613891383009705,14.892123877385938
2016-01-04,4H 0M 0S,17.20590563475875,26.338216383009705,22.39575387738594
2016-01-04,8H 0M 0S,18.94060563475875,28.255516383009706,24.25827387738594
2016-01-04,12H 0M 0S,20.60738063475875,30.097741383009705,26.04786387738594
2016-01-04,16H 0M 0S,18.87268063475875,28.180441383009704,24.18534387738594
2016-01-04,20H 0M 0S,17.137980634758748,26.263141383009707,22.322823877385936
2016-01-05,4H 0M 0S,11.171030634758749,19.668091383009706,15.916203877385936
2016-01-05,8H 0M 0S,13.69423063475875,22.456891383009705,18.625323877385938
2016-01-05,12H 0M 0S,16.11863063475875,25.136491383009705,21.228363877385938
2016-01-05,16H 0M 0S,13.595430634758747,22.347691383009703,18.519243877385936
2016-01-05,20H 0M 0S,11.072230634758748,19.558891383009705,15.810123877385937
2016-01-06,4H 0M 0S,8.53155063475875,16.750771383009706,13.082235877385937
2016-01-06,8H 0M 0S,10.55011063475875,18.981811383009706,15.249531877385937
2016-01-06,12H 0M 0S,12.489630634758749,21.125491383009706,17.331963877385935
2016-01-06,16H 0M 0S,10.471070634758748,18.894451383009706,15.164667877385936
2016-01-06,20H 0M 0S,8.452510634758749,16.663411383009702,12.997371877385936
2016-01-07,4H 0M 0S,13.090600634758749,21.789721383009706,17.977215877385937
2016-01-07,8H 0M 0S,15.424560634758748,24.369361383009707,20.48315187738594
2016-01-07,12H 0M 0S,17.66713063475875,26.847991383009703,22.890963877385936
2016-01-07,16H 0M 0S,15.333170634758748,24.2683513830097,20.385027877385934
2016-01-07,20H 0M 0S,12.999210634758748,21.688711383009704,17.87909187738594
2016-01-08,4H 0M 0S,15.67612063475875,24.647401383009708,20.753247877385938
2016-01-08,8H 0M 0S,17.50544063475875,26.669281383009707,22.717359877385938
2016-01-08,12H 0M 0S,19.263130634758753,28.611991383009705,24.60456387738594
